Variables,Values,Ambient,Diffuse,Offshore,Transition
TA,2251.863751,NA,2251.863751,NA,NA
TA,2252.364904,NA,2252.364904,NA,NA
TA,2253.270607,NA,2253.270607,NA,NA
TA,2254.602485,NA,2254.602485,NA,NA
TA,2254.849699,NA,2254.849699,NA,NA
TA,2256.437492,NA,2256.437492,NA,NA
TA,2257.603516,NA,2257.603516,NA,NA
TA,2258.76146,NA,2258.76146,NA,NA
TA,2259.329722,NA,2259.329722,NA,NA
TA,2259.562288,NA,2259.562288,NA,NA
TA,2263.486124,NA,2263.486124,NA,NA
TA,2265.354907,NA,2265.354907,NA,NA
TA,2266.414651,NA,2266.414651,NA,NA
TA,2266.833129,NA,2266.833129,NA,NA
TA,2266.862576,NA,2266.862576,NA,NA
TA,2270.401798,NA,2270.401798,NA,NA
TA,2273.407056,NA,2273.407056,NA,NA
TA,2280.920815,NA,2280.920815,NA,NA
TA,2281.618209,NA,2281.618209,NA,NA
